date,soil_moisture
2023-06-19 09:00:00,0.31347668
2023-06-19 12:00:00,0.3126047
2023-06-19 15:00:00,0.31137487
2023-06-19 18:00:00,0.30896738
2023-06-19 21:00:00,0.30633715
2023-06-20 00:00:00,0.30451462
2023-06-20 03:00:00,0.30381373
2023-06-20 06:00:00,0.3032586
2023-06-20 09:00:00,0.30275053
2023-06-20 12:00:00,0.3033591
2023-06-20 15:00:00,0.30248663
2023-06-20 18:00:00,0.30052063
2023-06-20 21:00:00,0.29833862
2023-06-21 00:00:00,0.29652098
2023-06-21 03:00:00,0.2961794
2023-06-21 06:00:00,0.2959838
2023-06-21 09:00:00,0.2958439
2023-06-21 12:00:00,0.2957514
2023-06-21 15:00:00,0.2952594
2023-06-21 18:00:00,0.29380918
2023-06-21 21:00:00,0.29206192
2023-06-22 00:00:00,0.2908648
2023-06-22 03:00:00,0.2906877
2023-06-22 06:00:00,0.29071274
2023-06-22 09:00:00,0.29077056
2023-06-22 12:00:00,0.29085842
2023-06-22 15:00:00,0.29050526
2023-06-22 18:00:00,0.2889514
2023-06-22 21:00:00,0.28708357
2023-06-23 00:00:00,0.28598914
2023-06-23 03:00:00,0.28599408
2023-06-23 06:00:00,0.28615874
2023-06-23 09:00:00,0.2863813
2023-06-23 12:00:00,0.28201857
2023-06-23 15:00:00,0.28195035
2023-06-23 18:00:00,0.28070977
2023-06-23 21:00:00,0.27901128
2023-06-24 00:00:00,0.27646506
2023-06-24 03:00:00,0.27654684
2023-06-24 06:00:00,0.27679068
2023-06-24 09:00:00,0.2770435
2023-06-24 12:00:00,0.27722666
2023-06-24 15:00:00,0.27693796
2023-06-24 18:00:00,0.2755313
2023-06-24 21:00:00,0.27398303
2023-06-25 00:00:00,0.28435194
2023-06-25 03:00:00,0.28577325
2023-06-25 06:00:00,0.28638846
2023-06-25 09:00:00,0.28622705
2023-06-25 12:00:00,0.2859122
2023-06-25 15:00:00,0.2851029
2023-06-25 18:00:00,0.28419024
2023-06-25 21:00:00,0.28291044
2023-06-26 00:00:00,0.28368646
2023-06-26 03:00:00,0.28337076
2023-06-26 06:00:00,0.28336766
2023-06-26 09:00:00,0.2834446
2023-06-26 12:00:00,0.2843647
2023-06-26 15:00:00,0.28400716
2023-06-26 18:00:00,0.28310862
2023-06-26 21:00:00,0.28193048
2023-06-27 00:00:00,0.2820782
2023-06-27 03:00:00,0.2818887
2023-06-27 06:00:00,0.28193828
2023-06-27 09:00:00,0.2820343
2023-06-27 12:00:00,0.28216514
2023-06-27 15:00:00,0.28193322
2023-06-27 18:00:00,0.2804888
2023-06-27 21:00:00,0.2786549
2023-06-28 00:00:00,0.2775912
2023-06-28 03:00:00,0.2774863
2023-06-28 06:00:00,0.27769974
2023-06-28 09:00:00,0.2779434
2023-06-28 12:00:00,0.2788475
2023-06-28 15:00:00,0.27856052
2023-06-28 18:00:00,0.27756584
2023-06-28 21:00:00,0.27585435
2023-06-29 00:00:00,0.2752324
2023-06-29 03:00:00,0.2753713
2023-06-29 06:00:00,0.27556792
2023-06-29 09:00:00,0.2758049
2023-06-29 12:00:00,0.27603278
2023-06-29 15:00:00,0.27598205
2023-06-29 18:00:00,0.27589116
2023-06-29 21:00:00,0.27447608
2023-06-30 00:00:00,0.27376816
2023-06-30 03:00:00,0.27425897
2023-06-30 06:00:00,0.27455297
2023-06-30 09:00:00,0.27480885
2023-06-30 12:00:00,0.27527672
2023-06-30 15:00:00,0.27754733
2023-06-30 18:00:00,0.2780121
2023-06-30 21:00:00,0.27682835
2023-07-01 00:00:00,0.27625746
